ULIKey,FirstSeen,Address,Village,Price,VLSNumber,DaysOnMarket
S92V.10,2026-02-21,5596 EVERTON CT,The Village of Hawkins,392000,248455,217
S94V.40,2026-02-21,1600 WAYCROSS PL,The Village of Hawkins,417900,247220,217
S94V.66,2026-02-21,5716 MELVIN DR,The Village of Hawkins,550000,247278,217
S81V.83,2026-02-21,5722 LEBOEUF LN,The Village of Hawkins,359000,248589,217
S85V.8,2026-02-21,1352 MARYBETH LN,The Village of Hawkins,244900,248275,217
S89V.28,2026-02-21,5862 SANFORD ST,The Village of Hawkins,464900,248317,217
S89V.49,2026-02-21,1315 MIZELL AVE,The Village of Hawkins,314900,248198,217
S89V.53,2026-02-21,1296 TATE TER,The Village of Hawkins,299500,247425,217
S90V.53,2026-02-21,1406 FRANKLIN CT,The Village of Hawkins,359000,249182,217
S93V.57,2026-02-21,5747 TINSLEY TER,The Village of Hawkins,270000,249235,217
S75V.32,2026-02-21,1054 SKATES ST,The Village of Cason Hammock,625000,249286,217
S75V.43,2026-02-21,1104 SKATES ST,The Village of Cason Hammock,925000,248338,217
S75V.94,2026-02-21,5881 MCCRANIE TER,The Village of Cason Hammock,777800,248654,217
S75V.105,2026-02-21,911 HUBBARD LOOP,The Village of Cason Hammock,1050000,247790,217
S75V.112,2026-02-21,862 HUBBARD LOOP,The Village of Cason Hammock,539555,248889,217
S77V.51,2026-02-21,958 TRIFU TER,The Village of Cason Hammock,524000,248984,217
S77V.91,2026-02-21,862 BOWDEN RD,The Village of Cason Hammock,479800,249168,217
S77V.102,2026-02-21,1077 OUTRIDGE LOOP,The Village of Cason Hammock,569000,248841,217
S76V.16,2026-02-21,5983 FREITAG AVE,The Village of Cason Hammock,629900,247073,217
S78V.11,2026-02-21,5991 HOLTON AVE,The Village of Cason Hammock,510000,249220,217
S48V.27,2026-02-21,1110 EBLING LOOP,The Village of St. Catherine,549000,247587,217
S48V.113,2026-02-21,5807 SCHAEFFER TER,The Village of St. Catherine,435000,248882,217
S48V.124,2026-02-21,5824 SCHAEFFER TER,The Village of St. Catherine,525000,249142,217
S49V.130,2026-02-21,5668 PATTERSON LOOP,The Village of St. Catherine,799000,247889,217
S51V.65,2026-02-21,5767 AMANDA TER,The Village of St. Catherine,535000,249143,217
S52V.79,2026-02-21,5659 TERESA TER,The Village of St. Catherine,649000,248968,217
S53V.31,2026-02-21,440 GILSON LOOP,The Village of St. Catherine,329900,248700,217
S53V.58,2026-02-21,535 GILSON LOOP,The Village of St. Catherine,328500,248538,217
S53V.65,2026-02-21,485 GILSON LOOP,The Village of St. Catherine,370000,249155,217
S55V.47,2026-02-21,598 GOUGH PL,The Village of St. Catherine,574000,247616,217
S56V.56,2026-02-21,5854 ROUDELL WAY,The Village of St. Catherine,620000,249230,217
S62V.23,2026-02-21,5747 KATHLEEN LN,The Village of St. Catherine,399900,248902,217
S64V.13,2026-02-21,5761 GILLESPIE LN,The Village of St. Catherine,315000,249267,217
S65V.48,2026-02-21,5937 WALTERS CT,The Village of St. Catherine,525000,248856,217
S99V.11,2026-02-21,4905 OKAHUMPKA RUN,The Village of St. Johns,899000,247592,217
S99V.40,2026-02-21,4769 OKAHUMPKA RUN,The Village of St. Johns,1399900,249206,217
S99V.66,2026-02-21,2448 YOUNGMANN LOOP,The Village of St. Johns,395000,248487,217
S99V.119,2026-02-21,2455 YOUNGMANN LOOP,The Village of St. Johns,365000,248706,217
S95V.34,2026-02-21,5448 BOAZ AVE,The Village of St. Johns,309900,248905,217
S97V.4,2026-02-21,1943 FRASER CT,The Village of St. Johns,824800,249208,217
S97V.16,2026-02-21,1997 FRASER CT,The Village of St. Johns,589995,247376,217
S98V.10,2026-02-21,4964 OKAHUMPKA RUN,The Village of St. Johns,899900,249319,217
S98V.94,2026-02-21,2202 LANDREA LOOP,The Village of St. Johns,439900,249073,217
S100V.16,2026-02-21,4842 NOREEN CT,The Village of St. Johns,294000,248354,217
S100V.44,2026-02-21,4861 NOREEN CT,The Village of St. Johns,329000,247290,217
S101V.10,2026-02-21,2400 RICH TER,The Village of St. Johns,297000,247865,217
S104V.12,2026-02-21,4370 STONY RUN,The Village of Richmond,1950000,247469,217
S105V.18,2026-02-21,4516 SHOCKOE CIR,The Village of Richmond,678000,246983,217
S105V.69,2026-02-21,2783 RANDOLPH LOOP,The Village of Richmond,1590000,248966,217
S105V.103,2026-02-21,4597 SHOCKOE CIR,The Village of Richmond,649900,248441,217
S105V.132,2026-02-21,4503 SHOCKOE CIR,The Village of Richmond,424900,248467,217
S110V.47,2026-02-21,2764 CHIMBORAZO WAY,The Village of Richmond,975000,248132,217
S110V.77,2026-02-21,2900 CHIMBORAZO WAY,The Village of Richmond,1074900,249364,217
S110V.96,2026-02-21,2915 CHIMBORAZO WAY,The Village of Richmond,410000,247954,217
S110V.106,2026-02-21,2892 OSBORNE ST,The Village of Richmond,434900,248963,217
S112V.14,2026-02-21,2816 NAVY HILL CIR,The Village of Richmond,419900,249253,217
S112V.70,2026-02-21,2781 NAVY HILL CIR,The Village of Richmond,409900,246680,217
S112V.91,2026-02-21,2848 CARYTOWN LOOP,The Village of Richmond,515000,248210,217
S115V.56,2026-02-21,2610 QUELLY RD,The Village of Richmond,599950,249117,217
S115V.57,2026-02-21,4207 WIDMANN PL,The Village of Richmond,624000,248773,217
S106V.2,2026-02-21,4314 CAMEO CIR,The Village of Richmond,419900,249305,217
S106V.16,2026-02-21,4438 CAMEO CIR,The Village of Richmond,409900,249272,217
S106V.23,2026-02-21,4307 CAMEO CIR,The Village of Richmond,445500,249310,217
S109V.14,2026-02-21,4249 MCCLOY AVE,The Village of Richmond,644900,248901,217
S114V.33,2026-02-21,3944 KANAWHA PL,The Village of Richmond,319000,248610,217
S114V.77,2026-02-21,3939 KANAWHA PL,The Village of Richmond,329900,248440,217
S113V.11,2026-02-21,3116 MONUMENT WAY,The Village of Richmond,479900,248430,217
S113V.27,2026-02-21,3135 FOUSHEE LOOP,The Village of Richmond,562900,249141,217
S142V.2,2026-02-21,4136 BOATWRIGHT AVE,The Village of Richmond,989000,248577,217
S142V.5,2026-02-21,4116 BOATWRIGHT AVE,The Village of Richmond,899000,248381,217
L41V.68,2026-02-21,6366 BRIDGET AVE,The Village of Newell,615000,248502,217
L44V.21,2026-02-21,1829 VANBECK CIR,The Village of Newell,1399000,248614,217
L44V.26,2026-02-21,1799 VANBECK CIR,The Village of Newell,1180000,248427,217
L44V.70,2026-02-21,1860 SEYLER ST,The Village of Newell,540000,248796,217
L44V.124,2026-02-21,6609 HOLOVAK TER,The Village of Newell,499000,248412,217
L48V.108,2026-02-21,1655 TANYA TER,The Village of Newell,579000,248847,217
L49V.15,2026-02-21,6559 WETTSTEIN WAY,The Village of Newell,610000,248129,217
L49V.22,2026-02-21,6584 WETTSTEIN WAY,The Village of Newell,584500,248787,217
L49V.24,2026-02-21,6574 WETTSTEIN WAY,The Village of Newell,769999,248451,217
L49V.59,2026-02-21,6428 MCKNIGHT LOOP,The Village of Newell,1150000,248971,217
L49V.77,2026-02-21,6441 RALPH RD,The Village of Newell,595000,247513,217
L49V.106,2026-02-21,2073 POSPISIL AVE,The Village of Newell,549000,249050,217
L49V.108,2026-02-21,2059 POSPISIL AVE,The Village of Newell,499850,248897,217
L51V.66,2026-02-21,6763 NEWELL LOOP,The Village of Newell,1088000,247778,217
L51V.69,2026-02-21,6777 NEWELL LOOP,The Village of Newell,1048999,248569,217
L51V.89,2026-02-21,6714 NEWELL LOOP,The Village of Newell,460000,249041,217
L51V.100,2026-02-21,6584 NEWELL LOOP,The Village of Newell,439900,248632,217
L42V.10,2026-02-21,6488 PETER LN,The Village of Newell,264900,248605,217
L42V.36,2026-02-21,1918 HUX CT,The Village of Newell,279000,248653,217
L45V.14,2026-02-21,6580 GUNNER TER,The Village of Newell,409000,249236,217
L45V.40,2026-02-21,6576 MERRILL LN,The Village of Newell,445000,248318,217
L47V.31,2026-02-21,1675 MCTUVEOUS CT,The Village of Newell,585900,248302,217
L50V.18,2026-02-21,2010 BOOTH PL,The Village of Newell,445000,248278,217
L50V.37,2026-02-21,6504 GAVANNI ST,The Village of Newell,419999,247896,217
L50V.39,2026-02-21,6523 FAHS LOOP,The Village of Newell,474000,247514,217
L53V.18,2026-02-21,6767 MARY LOOP,The Village of Newell,365000,247657,217
L53V.27,2026-02-21,6688 MARY LOOP,The Village of Newell,375600,249187,217
L54V.23,2026-02-21,1927 GINA PL,The Village of Newell,269900,249058,217
L54V.32,2026-02-21,1946 DONNA AVE,The Village of Newell,324500,248768,217
L54V.62,2026-02-21,6736 SADIE AVE,The Village of Newell,289900,248109,217
L55V.9,2026-02-21,6803 MICKYLEE RUN,The Village of Newell,599999,248859,217
L55V.12,2026-02-21,6829 MICKYLEE RUN,The Village of Newell,639900,248497,217
L55V.54,2026-02-21,6772 MICKYLEE RUN,The Village of Newell,425000,248736,217
L56V.58,2026-02-21,6953 MINCHEW CIR,The Village of Lake Denham,525000,249145,217
L56V.61,2026-02-21,6967 MINCHEW CIR,The Village of Lake Denham,484900,247922,217
L56V.112,2026-02-21,6900 MINCHEW CIR,The Village of Lake Denham,499000,249046,217
L60V.8,2026-02-21,6986 DWIGHT DR,The Village of Lake Denham,399900,248857,217
L60V.80,2026-02-21,1584 ROWELL ST,The Village of Lake Denham,499824,248771,217
L60V.104,2026-02-21,6995 DWIGHT DR,The Village of Lake Denham,725000,248206,217
L60V.115,2026-02-21,1557 PEAKMAN RD,The Village of Lake Denham,515000,248981,217
L60V.132,2026-02-21,1522 ORTWEIN LOOP,The Village of Lake Denham,465000,249044,217
L63V.5,2026-02-21,1495 GUILLERMINA LOOP,The Village of Lake Denham,399000,249263,217
L63V.17,2026-02-21,1431 GUILLERMINA LOOP,The Village of Lake Denham,520800,247759,217
L63V.36,2026-02-21,1443 JEREMY CIR,The Village of Lake Denham,359000,247350,217
L65V.5,2026-02-21,7084 EMILINE TER,The Village of Lake Denham,798000,248692,217
L65V.12,2026-02-21,7030 EMILINE TER,The Village of Lake Denham,899000,249076,217
L65V.110,2026-02-21,7035 LAWRENCEVILLE WAY,The Village of Lake Denham,599800,248765,217
L65V.115,2026-02-21,6964 SUGAR CREEK PATH,The Village of Lake Denham,509250,248311,217
L65V.161,2026-02-21,7050 SUGAR CREEK PATH,The Village of Lake Denham,589999,248810,217
L66V.7,2026-02-21,1257 ELKINGTON RD,The Village of Lake Denham,749000,249000,217
L66V.15,2026-02-21,1195 ELKINGTON RD,The Village of Lake Denham,569000,248394,217
L66V.46,2026-02-21,7083 TUCSON TRL,The Village of Lake Denham,1199000,248370,217
L66V.71,2026-02-21,1174 HANS LN,The Village of Lake Denham,369985,248169,217
L66V.98,2026-02-21,1188 ELKINGTON RD,The Village of Lake Denham,450000,248214,217
L66V.100,2026-02-21,1176 ELKINGTON RD,The Village of Lake Denham,559900,248439,217
L66V.108,2026-02-21,1185 HANS LN,The Village of Lake Denham,464500,248548,217
L68V.2,2026-02-21,1054 JOETTE PL,The Village of Lake Denham,384500,247941,217
L68V.17,2026-02-21,1124 JOETTE PL,The Village of Lake Denham,749000,249181,217
L72V.43,2026-02-21,965 EUGENE TER,The Village of Lake Denham,435000,249125,217
L58V.25,2026-02-21,1639 ECHOLS CT,The Village of Lake Denham,279000,248572,217
L59V.8,2026-02-21,1690 WILL LN,The Village of Lake Denham,465000,247406,217
L59V.19,2026-02-21,6986 ELAINE CT,The Village of Lake Denham,345000,248712,217
L61V.19,2026-02-21,1636 TIA TER,The Village of Lake Denham,399500,247875,217
L61V.20,2026-02-21,1632 TIA TER,The Village of Lake Denham,425000,248315,217
L62V.36,2026-02-21,7203 FAY CT,The Village of Lake Denham,237711,249251,217
L64V.30,2026-02-21,1386 KENNETH ST,The Village of Lake Denham,497386,248257,217
L64V.53,2026-02-21,7239 ANGEL AVE,The Village of Lake Denham,492550,248550,217
L64V.55,2026-02-21,7251 ANGEL AVE,The Village of Lake Denham,369000,247187,217
L64V.69,2026-02-21,7241 JEREMIAH TER,The Village of Lake Denham,569900,248679,217
L67V.2,2026-02-21,1186 LACHAPELLE LN,The Village of Lake Denham,314500,249160,217
L67V.43,2026-02-21,1195 LACHAPELLE LN,The Village of Lake Denham,279555,249259,217
L70V.8,2026-02-21,1108 WALSH LN,The Village of Lake Denham,424900,249180,217
L70V.22,2026-02-21,7275 TRUDY TER,The Village of Lake Denham,599000,247890,217
L70V.46,2026-02-21,1071 WALSH LN,The Village of Lake Denham,459000,247820,217
L70V.47,2026-02-21,1077 WALSH LN,The Village of Lake Denham,399000,248778,217
L71V.2,2026-02-21,1009 GORMSEN CT,The Village of Lake Denham,289900,249173,217
L71V.14,2026-02-21,1032 WELLMAN WAY,The Village of Lake Denham,279900,249159,217
L71V.18,2026-02-21,1012 WELLMAN WAY,The Village of Lake Denham,275000,248140,217
L71V.19,2026-02-21,1008 WELLMAN WAY,The Village of Lake Denham,274900,249074,217
L73V.10,2026-02-21,865 DONELIN CIR,The Village of Dabney,825000,249378,217
L73V.23,2026-02-21,7275 TRUNDLE TER,The Village of Dabney,1249900,247997,217
L73V.41,2026-02-21,807 SAGE ST,The Village of Dabney,419900,248216,217
L73V.76,2026-02-21,828 DONELIN CIR,The Village of Dabney,799900,248357,217
L78V.1,2026-02-21,703 ROSEMONT LOOP,The Village of Dabney,419000,245662,217
L78V.17,2026-02-21,755 CHERRY CREEK WAY,The Village of Dabney,425000,248513,217
L78V.51,2026-02-21,590 CHERRY CREEK WAY,The Village of Dabney,499999,248041,217
L78V.118,2026-02-21,605 CHERRY CREEK WAY,The Village of Dabney,349621,249010,217
L81V.10,2026-02-21,703 LAKE CREEK CIR,The Village of Dabney,589900,249292,217
L81V.19,2026-02-21,653 LAKE CREEK CIR,The Village of Dabney,675000,248814,217
L81V.82,2026-02-21,560 LAKE CREEK CIR,The Village of Dabney,414700,247512,217
L84V.33,2026-02-21,716 SHIVERS LOOP,The Village of Dabney,1275000,248039,217
L84V.37,2026-02-21,748 SHIVERS LOOP,The Village of Dabney,1589000,248752,217
L84V.51,2026-02-21,591 FLEMINGTON PATH,The Village of Dabney,1999800,248816,217
L84V.52,2026-02-21,585 FLEMINGTON PATH,The Village of Dabney,1185000,248558,217
L84V.71,2026-02-21,390 BEDMINSTER WAY,The Village of Dabney,1289000,249185,217
L79V.3,2026-02-21,7515 ALYSHA AVE,The Village of Dabney,534900,249271,217
L79V.8,2026-02-21,7535 ALYSHA AVE,The Village of Dabney,400000,248891,217
L79V.50,2026-02-21,7583 ALYSHA AVE,The Village of Dabney,374000,248002,217
L80V.5,2026-02-21,7541 KUENHER CT,The Village of Dabney,278850,248925,217
L80V.20,2026-02-21,680 JOSEPH WAY,The Village of Dabney,289900,248937,217
L82V.48,2026-02-21,494 VAN DEEN PL,The Village of Dabney,397000,247637,217
L82V.51,2026-02-21,506 VAN DEEN PL,The Village of Dabney,349000,247571,217
L83V.2,2026-02-21,503 VERLANDER ST,The Village of Dabney,539900,248024,217
L83V.15,2026-02-21,7539 HAGEMEYER PL,The Village of Dabney,399000,248326,217
L83V.35,2026-02-21,510 VERLANDER ST,The Village of Dabney,558500,248171,217
L77V.35,2026-02-21,7560 FAR HILLS LOOP,The Village of Dabney,475000,247834,217
L75V.25,2026-02-21,873 CONROE ST,The Village of Dabney,310000,249128,217
L75V.37,2026-02-21,821 CONROE ST,The Village of Dabney,299000,248853,217
L75V.66,2026-02-21,850 CONROE ST,The Village of Dabney,265500,248756,217
L75V.71,2026-02-21,828 CONROE ST,The Village of Dabney,294989,248867,217
S202V.7,2026-02-21,7961 KATIE KEITH LOOP,The Village of Moultrie Creek,1195000,249038,217
S202V.16,2026-02-21,7911 KATIE KEITH LOOP,The Village of Moultrie Creek,1199000,248895,217
S207V.11,2026-02-21,1651 WOELKERS CIR,The Village of Moultrie Creek,775000,248913,217
S210V.12,2026-02-21,1993 MCMURTRIE LOOP,The Village of Moultrie Creek,929000,247264,217
S210V.27,2026-02-21,1917 MCMURTRIE LOOP,The Village of Moultrie Creek,749800,248546,217
S210V.51,2026-02-21,7581 SUNDERMAN AVE,The Village of Moultrie Creek,475000,248536,217
S210V.52,2026-02-21,7593 SUNDERMAN AVE,The Village of Moultrie Creek,684900,249008,217
S210V.75,2026-02-21,1896 MCMURTRIE LOOP,The Village of Moultrie Creek,419900,247478,217
S210V.79,2026-02-21,7547 JARED TER,The Village of Moultrie Creek,459000,248722,217
S210V.108,2026-02-21,7582 JARED TER,The Village of Moultrie Creek,359000,247649,217
S210V.124,2026-02-21,1954 MCMURTRIE LOOP,The Village of Moultrie Creek,469900,248385,217
S211V.8,2026-02-21,1832 WALMER LN,The Village of Moultrie Creek,372000,248933,217
S211V.32,2026-02-21,1830 REECE PATTERSON DR,The Village of Moultrie Creek,300000,248347,217
S211V.34,2026-02-21,1842 REECE PATTERSON DR,The Village of Moultrie Creek,449000,248729,217
S211V.35,2026-02-21,1848 REECE PATTERSON DR,The Village of Moultrie Creek,349000,249033,217
S215V.24,2026-02-21,1745 MCMURTRIE LOOP,The Village of Moultrie Creek,539000,248466,217
S215V.47,2026-02-21,1708 MCMURTRIE LOOP,The Village of Moultrie Creek,507000,249217,217
S215V.49,2026-02-21,1714 MCMURTRIE LOOP,The Village of Moultrie Creek,425000,248433,217
S215V.58,2026-02-21,1762 MCMURTRIE LOOP,The Village of Moultrie Creek,379000,247352,217
S217V.10,2026-02-21,1742 JAMES GRAY ST,The Village of Moultrie Creek,409900,248747,217
S217V.11,2026-02-21,1738 JAMES GRAY ST,The Village of Moultrie Creek,385000,248684,217
S217V.31,2026-02-21,1650 MCMURTRIE LOOP,The Village of Moultrie Creek,549900,248668,217
S217V.49,2026-02-21,1788 JOHN BLAKE LN,The Village of Moultrie Creek,378888,248769,217
S217V.63,2026-02-21,1727 JAMES GRAY ST,The Village of Moultrie Creek,369900,247644,217
S203V.13,2026-02-21,7731 GRIFFIN LN,The Village of Moultrie Creek,589000,249224,217
S206V.5,2026-02-21,7734 BRIAN ETHEREDGE WAY,The Village of Moultrie Creek,814900,247070,217
S206V.19,2026-02-21,1788 CRANE DORAN PL,The Village of Moultrie Creek,1200000,249138,217
S214V.8,2026-02-21,7474 BOYSO TER,The Village of Moultrie Creek,335000,249282,217
S214V.38,2026-02-21,1758 HUGAR PL,The Village of Moultrie Creek,283900,249047,217
S213V.28,2026-02-21,1661 CADORETTE DR,The Village of Moultrie Creek,579000,247929,217
S213V.31,2026-02-21,1649 CADORETTE DR,The Village of Moultrie Creek,559000,247924,217
S213V.64,2026-02-21,1674 CADORETTE DR,The Village of Moultrie Creek,459500,247629,217
S209V.20,2026-02-21,2034 LAURA LOOP,The Village of Moultrie Creek,870000,248922,217
S212V.34,2026-02-21,1829 TIMON ST,The Village of Moultrie Creek,319000,248836,217
S1M.52,2026-02-21,7356 DANFORD PL,Middleton - Family Neighborhood,469000,249296,217
S1M.74,2026-02-21,2565 PADGETT PL,Middleton - Family Neighborhood,328000,247804,217
S1M.99,2026-02-21,7517 CHASTAIN CIR,Middleton - Family Neighborhood,404900,248310,217
S1M.125,2026-02-21,7641 BARONE TER,Middleton - Family Neighborhood,585000,249177,217
S1M.132,2026-02-21,7569 DINAPOLI CT,Middleton - Family Neighborhood,534000,248331,217
S1M.180,2026-02-21,7592 CHASTAIN CIR,Middleton - Family Neighborhood,319989,249256,217
S1M.182,2026-02-21,7602 CHASTAIN CIR,Middleton - Family Neighborhood,379900,248865,217
S1M.191,2026-02-21,2622 RUTER WAY,Middleton - Family Neighborhood,445000,248272,217
S1M.228,2026-02-21,2571 SKOBLICKI ST,Middleton - Family Neighborhood,410007,247700,217
S1M.240,2026-02-21,7506 CHASTAIN CIR,Middleton - Family Neighborhood,345000,248877,217
S1M.247,2026-02-21,7588 BOGART PL,Middleton - Family Neighborhood,459000,249299,217
S2M.12,2026-02-21,2683 CLEVELAND PL,Middleton - Family Neighborhood,649900,247707,217
S2M.21,2026-02-21,2627 CLEVELAND PL,Middleton - Family Neighborhood,715000,248851,217
S2M.42,2026-02-21,2465 ALDER AVE,Middleton - Family Neighborhood,449900,248478,217
S2M.263,2026-02-21,2744 CLEVELAND PL,Middleton - Family Neighborhood,468900,247534,217
S3M.47,2026-02-21,7825 BYERS ST,Middleton - Family Neighborhood,570000,247076,217
S4M.35,2026-02-21,7325 CATINAZZO CT,Middleton - Family Neighborhood,278900,248719,217
S4M.53,2026-02-21,7333 CUNNINGHAM PATH,Middleton - Family Neighborhood,420000,248512,217
S4M.238,2026-02-21,7383 JELANI WAY,Middleton - Family Neighborhood,364999,248422,217
S5M.284,2026-02-21,2210 MANSELL PATH,Middleton - Family Neighborhood,209000,249132,217
S181V.36,2026-02-21,1622 AIDEN AVE,The Village of Oak Hollow,297927,249109,217
S189V.22,2026-02-21,1823 ANNIE AVE,The Village of Oak Hollow,366702,249170,217
S219V.54,2026-02-21,7639 CHRIS CORLEY LOOP,The Village of Shady Brook,499000,248222,217
S219V.76,2026-02-21,1387 COWART CIR,The Village of Shady Brook,775000,248496,217
S219V.132,2026-02-21,7649 KELLEY MARGARET PL,The Village of Shady Brook,510000,249361,217
S219V.175,2026-02-21,1464 COWART CIR,The Village of Shady Brook,510000,248530,217
S221V.42,2026-02-21,7658 RUTHERFORD LN,The Village of Shady Brook,329711,249085,217
S222V.46,2026-02-21,7977 CARMEN RENE WAY,The Village of Shady Brook,1100000,248482,217
S222V.76,2026-02-21,1535 ANDREW MACHOL CT,The Village of Shady Brook,547300,248308,217
S222V.80,2026-02-21,1561 ANDREW MACHOL CT,The Village of Shady Brook,449800,249313,217
S225V.33,2026-02-21,7874 GOLDBERGER LN,The Village of Shady Brook,612000,249258,217
S225V.44,2026-02-21,1694 AMIDEI PATH,The Village of Shady Brook,899629,248565,217
S226V.33,2026-02-21,7945 CARMEN RENE WAY,The Village of Shady Brook,1150000,249087,217
S227V.44,2026-02-21,1635 KAREN PERKINS ST,The Village of Shady Brook,525000,248797,217
S227V.78,2026-02-21,7491 FRANK DIPIETRO DR,The Village of Shady Brook,399000,249169,217
S229V.30,2026-02-21,1416 TOM LN,The Village of Shady Brook,340000,248713,217
S229V.37,2026-02-21,7613 DANIEL HEARNS WAY,The Village of Shady Brook,349000,248071,217
S229V.63,2026-02-21,7617 BOONE AVE,The Village of Shady Brook,529000,249269,217
S230V.27,2026-02-21,1414 HEARNS LOOP,The Village of Shady Brook,649000,249123,217
S220V.15,2026-02-21,7653 ROTTERMOND WAY,The Village of Shady Brook,329811,249137,217
S220V.48,2026-02-21,1553 FERRY PL,The Village of Shady Brook,330000,249318,217
S228V.6,2026-02-21,1363 DARREN DR,The Village of Shady Brook,539900,248643,217
S228V.31,2026-02-21,7662 MAPP PL,The Village of Shady Brook,519900,249051,217
S218V.19,2026-02-21,1444 MESSER AVE,The Village of Shady Brook,549900,248638,217
S218V.32,2026-02-21,7726 SYDNEY CT,The Village of Shady Brook,524000,247367,217
S237V.43,2026-02-21,7415 SHAWN SCOTT RUN,The Village of Waters Edge,579900,249006,217
S237V.50,2026-02-21,7447 SHAWN SCOTT RUN,The Village of Waters Edge,439000,249078,217
S237V.52,2026-02-21,7455 SHAWN SCOTT RUN,The Village of Waters Edge,412500,248656,217
S248V.18,2026-02-21,1175 MAYR PL,The Village of Waters Edge,427711,248616,217
S248V.19,2026-02-21,1171 MAYR PL,The Village of Waters Edge,375000,248759,217
S248V.33,2026-02-21,1168 JELLO DR,The Village of Waters Edge,499711,249244,217
S234V.12,2026-02-21,1241 SHAYLA TER,The Village of Waters Edge,319500,248650,217
S234V.18,2026-02-21,7473 HEGLER ST,The Village of Waters Edge,289000,248153,217
S233V.18,2026-02-21,1308 NATE AVE,The Village of Waters Edge,359621,249080,217
S249V.53,2026-02-21,7195 JOSH DR,The Village of Waters Edge,695000,249055,217
S246V.20,2026-02-21,1192 LOGGINS LN,The Village of Waters Edge,599950,248839,217
S244V.5,2026-02-21,1400 LUELLEN PATH,The Village of Waters Edge,1199000,248322,217
S244V.32,2026-02-21,1391 CROCKTON PL,The Village of Waters Edge,889800,248987,217
S244V.42,2026-02-21,7330 ERNEST AVE,The Village of Waters Edge,559000,249291,217
S144V.12,2026-02-21,1886 YELLAND WAY,The Village of Well Point,587000,247913,217
S144V.15,2026-02-21,6260 HANNAN LOOP,The Village of Well Point,949000,247798,217
S144V.27,2026-02-21,6131 HANNAN LOOP,The Village of Well Point,909000,248813,217
S144V.80,2026-02-21,6166 HANNAN LOOP,The Village of Well Point,413900,247981,217
S146V.100,2026-02-21,1872 LYNN KEANE LOOP,The Village of Well Point,574900,248893,217
S149V.46,2026-02-21,1587 NORTHCOTT LOOP,The Village of Well Point,649000,248391,217
S183V.53,2026-02-21,2010 SANTINO AVE,The Village of Well Point,449999,249210,217
S151V.14,2026-02-21,1497 SOPHIE ST,The Village of Well Point,1148000,247450,217
S150V.34,2026-02-21,1576 GOOD PL,The Village of Well Point,397500,249100,217
M232.66,2026-02-22,16836 SE 91ST PHILLIPS CT,The Village of Woodbury,435000,249389,216
S232.31,2026-02-22,2571 MCLIN LN,The Village of Collier,1300000,249384,216
S226V.52,2026-02-22,1538 KAREN GARNER PL,The Village of Shady Brook,594000,249178,216
S245V.11,2026-02-22,7224 WILKINS RUN,The Village of Waters Edge,1200000,248828,216
S4.100,2026-02-23,307 SANTA CLARA CIR,The Village Rio Ponderosa,324900,249373,215
S717.58,2026-02-23,2301 SWANSEA TER,The Village of Bonita,399000,249377,215
S32.40,2026-02-23,2809 LARRANAGA DR,The Village of Harmeswood,1999900,249048,215
S47V.33,2026-02-23,980 MAYNARD PATH,The Village of Bradford,1350000,249056,215
L76V.1,2026-02-23,736 RIVER OAKS CIR,The Village of Dabney,459900,249393,215
S219V.72,2026-02-23,1405 COWART CIR,The Village of Shady Brook,729000,249385,215
S601.85,2026-02-24,2616 BOTELLO AVE,The Village Alhambra,200000,247141,214
S40.20,2026-02-24,1588 NORFOLK AVE,The Village of Belle Aire,824900,249395,214
S4.44,2026-02-24,250 JUAREZ WAY,The Village Rio Ponderosa,276000,249398,214
S100.83,2026-02-24,1767 HAGOOD LOOP,The Village of Poinciana,399000,249402,214
S703.41,2026-02-24,2364 TRAVIS PL,The Village of Duval,299000,249306,214
S160.34,2026-02-24,2409 BACHMAN PATH,The Village of Tamarind Grove,449500,249399,214
S951.71,2026-02-24,2457 UPTON ST,The Village of Pinellas,295000,248698,214
S955.58,2026-02-24,2578 ALCADE PL,The Village of Collier,359000,249338,214
S42V.38,2026-02-24,5937 BALDESCHWIELER WAY,The Village of Monarch Grove,559000,248957,214
S71V.116,2026-02-24,6390 DANIELSON LOOP,The Village of Citrus Grove,525000,249337,214
L79V.26,2026-02-24,7588 ALYSHA AVE,The Village of Dabney,424999,249339,214
S207V.65,2026-02-24,1634 WOELKERS CIR,The Village of Moultrie Creek,439621,249362,214
S657.2,2026-02-25,986 COTTAGE DR,The Village of Lake Sumter Landing,1200000,249252,213
S711.26,2026-02-25,2459 ADRIANA WAY,The Village of Hemingway,319900,249289,213
S815.35,2026-02-25,2232 AGNEW TER,The Village of St. Charles,279900,249349,213
S826.84,2026-02-25,2373 FLATWOOD ST,The Village of Tamarind Grove,359900,249420,213
S232.128,2026-02-25,3459 WENTROP AVE,The Village of Collier,895000,249401,213
S833.407,2026-02-25,3520 THORNE PATH,Oxford Oaks - Family Neighborhood,324900,249421,213
S622.19,2026-02-25,2402 HILL ST,The Village of DeSoto,409900,249391,213
S134V.23,2026-02-25,4126 NADIRA CT,The Village of DeLuna,479000,249317,213
S13F.33,2026-02-25,3653 ADAMSVILLE AVE,The Village of Hammock at Fenney,540000,249413,213
L41V.69,2026-02-25,6358 BRIDGET AVE,The Village of Newell,584800,249407,213
